"","species","sla.m","la.m","ldmc.m","sla.se","la.se","ldmc.se","ht.max","ht.m","ht.se","life_history","growth_form","disp_syn","disp_type","hybridization","native"
"99","Poa secunda",14.8257335554339,0.0798182596094268,0.00548,0.447973709131925,0.00264718619492727,0.000235966099260042,29,18.816,0.996772792566089,"perennial-herb","herbaceous",1,"caryopsis",1,1
"100","Populus tremuloides",3.62603599489911,0.566477802996286,0.15608,0.0872639339632395,0.0343105903061351,0.00821990754205909,2330,1386,342.703953872727,"perennial-woody","tree",2,"capsule",0,1
"101","Prosartes trachycarpa",24.1328185942236,1.16309282230771,0.0483,0.19346244181042,0.0299766379330902,0.00144890763450723,16,14.6666666666667,1.33333333333333,"perennial-herb","herbaceous",3,"berry",0,1
"102","Prunus virginiana",4.28954669782766,0.672131453625274,0.15644,0.0649554190993275,0.0166378691805165,0.00244922844994092,420,161.692307692308,35.5367964977915,"perennial-woody","herbaceous",3,"drupe",0,1
"103","Pseudoroegneria spicata",5.21696641817913,0.138411022194285,0.02664,0.0832263680032826,0.00237696732841588,0.000564552920460075,69,48.325,1.25452902920035,"perennial-herb","herbaceous",4,"caryopsis",0,1
"104","Pseudostellaria jamesiana",23.2881653150207,0.0371225070081708,0.0016,0.213877494246468,0.00047827862170527,2.64575131106459e-05,33,10.0185185185185,1.11108167102498,"perennial-herb","herbaceous",1,"capsule",0,1
"105","Pseudotsuga menziesii",4.43179584099995,0.0338588155604758,0.00776,0.0819741770796222,0.000442290640165284,0.000185364505771736,2350,1604,212.475880984172,"perennial-woody","tree",2,"cone",0,1
"106","Rosa woodsii",30.3031015526165,3.33444161958381,0.11864,2.03679160776021,0.106923811507338,0.0069810830105364,71,24.7777777777778,6.00642659938729,"perennial-woody","shrub",3,"hip",1,1
"107","Rubus parviflorus",151.099824386093,130.832686871798,0.8966,28.9218658760501,25.9963677947002,0.0465484773192501,115,99,6.53452370108182,"perennial-woody","shrub",3,"drupelets",0,1
"108","Salix exigua",4.45288577580494,0.490199175540654,0.1166,0.349532577760985,0.030263696333591,0.00770895583072053,247,218,14.6685604837921,"perennial-woody","shrub",2,"capsule",1,1
"109","Sedum debile",23.3947794595586,0.0250846089588419,0.00108,0.495577753537158,0.000574788279021017,2.44948974278318e-05,5,2.35714285714286,0.341411788635296,"perennial-herb","herbaceous",1,"follicle",0,1
"110","Senecio integerrimus",13.0327140802158,1.17726166361166,0.0908,0.514220632825177,0.0683171142012705,0.00498116452247866,44,32.27,1.97157861172772,"perennial-herb","herbaceous",2,"achene",1,1
"111","Senecio serra",98.9512907137513,14.695542964317,0.0946,40.7289963170996,6.29151735030309,0.00668329260170464,152,94.35,13.3819218848913,"perennial-herb","herbaceous",2,"achene",1,1
"112","Senecio sphaerocephalus",14.1343001731099,1.36885669730526,0.0966,0.274033751052052,0.0447496476061783,0.00128478273130778,26,22.5,3.5,"perennial-herb","herbaceous",2,"achene",1,1
"113","Shepherdia canadensis",3.04360263982585,0.476693481323858,0.15455,0.101219034338655,0.0341848076139174,0.00870129300736391,440,357,42.8835632847831,"perennial-woody","shrub",3,"berry",0,1
"114","Symphoricarpos oreophilus",6.77428084938113,0.0956707541694967,0.01434,0.187548851270185,0.00232252248402374,0.000347361483184305,163,54.25,4.98177233076297,"perennial-woody","shrub",3,"berry",0,1
"115","Symphyotrichum spathulatum",9.87258470600577,0.186547389445479,0.019,0.316433771524509,0.0102299637180876,0.00107070070514593,19,13.7,1.06510302057803,"perennial-herb","herbaceous",2,"achene",1,1
"116","Taraxacum officinale",136.988198579234,13.8484067492174,0.06852,56.8528491834649,5.92839975434114,0.00504425217450516,41.8,23.6416666666667,3.82486795837319,"perennial-herb","herbaceous",2,"achene",1,1
"117","Thalictrum fendleri",970.876410553289,488.29494596269,0.498583333333333,24.9705652299854,34.7990235348862,0.0235348933225478,134,90.025,9.58638822944879,"perennial-herb","herbaceous",1,"achene",0,1
"118","Tragopogon dubius",14.8669795148492,0.425973854145645,0.03088,1.12722726173089,0.0321317403718656,0.0024322170955735,98,47.6212121212121,1.44628213200896,"biennial","herbaceous",2,"achene",0,1
"119","Vicia americana",15.481258314674,1.82941568948902,0.119,0.359867875009953,0.075651079012842,0.00579816062787731,94,66.9375,4.9932432024258,"perennial-herb","vine-herbaceous",1,"legume",0,1
"120","Viola purpurea",13.2405472431751,0.212577592650755,0.01612,0.203600629355569,0.00852894485184506,0.000708011299344862,9.6,6.8,0.789303490426844,"perennial-herb","herbaceous",8,"capsule",1,1
"121","white flowered brassica",8.43448198000234,0.0626236128261205,0.0077,0.306017985567913,0.00351260156457416,0.000661815684310972,53,42.24,3.12259507461342,"perennial-herb","herbaceous",1,"silicle",0,1
"122","Wyethia amplexicaulis",94.9175189066342,128.641521361226,1.25,36.5286828913848,56.0234187398362,0.110144013471925,36.6,32.575,1.41746126175336,"perennial-herb","herbaceous",1,"achene",0,1
