"plot","year","month","day","time","temp"
1111,2018,10,10,"15:00",6.67
1111,2018,10,10,"16:30",6.88
1111,2018,10,10,"18:00",6.78
1111,2018,10,10,"19:30",6.17
1111,2018,10,10,"21:00",5.76
1111,2018,10,10,"22:30",5.35
1111,2018,10,11,"00:00",4.93
1111,2018,10,11,"01:30",4.31
1111,2018,10,11,"03:00",3.89
1111,2018,10,11,"04:30",3.37
1111,2018,10,11,"06:00",3.05
1111,2018,10,11,"07:30",2.84
1111,2018,10,11,"09:00",2.84
1111,2018,10,11,"10:30",3.58
1111,2018,10,11,"12:00",4.52
1111,2018,10,11,"13:30",5.76
1111,2018,10,11,"15:00",6.98
1111,2018,10,11,"16:30",7.18
1111,2018,10,11,"18:00",7.18
1111,2018,10,11,"19:30",6.27
1111,2018,10,11,"21:00",5.45
1111,2018,10,11,"22:30",4.42
1111,2018,10,12,"00:00",3.58
1111,2018,10,12,"01:30",3.05
1111,2018,10,12,"03:00",2.73
1111,2018,10,12,"04:30",2.41
1111,2018,10,12,"06:00",2.2
1111,2018,10,12,"07:30",2.09
1111,2018,10,12,"09:00",1.98
1111,2018,10,12,"10:30",1.87
1111,2018,10,12,"12:00",1.87
1111,2018,10,12,"13:30",1.98
1111,2018,10,12,"15:00",2.41
1111,2018,10,12,"16:30",3.05
1111,2018,10,12,"18:00",3.68
1111,2018,10,12,"19:30",3.26
1111,2018,10,12,"21:00",2.73
1111,2018,10,12,"22:30",2.3
1111,2018,10,13,"00:00",2.2
1111,2018,10,13,"01:30",1.98
1111,2018,10,13,"03:00",1.76
1111,2018,10,13,"04:30",1.66
1111,2018,10,13,"06:00",1.55
1111,2018,10,13,"07:30",1.55
1111,2018,10,13,"09:00",1.44
1111,2018,10,13,"10:30",1.44
1111,2018,10,13,"12:00",1.55
1111,2018,10,13,"13:30",2.09
1111,2018,10,13,"15:00",3.26
1111,2018,10,13,"16:30",3.68
1111,2018,10,13,"18:00",4.31
1111,2018,10,13,"19:30",4
1111,2018,10,13,"21:00",3.58
1111,2018,10,13,"22:30",3.05
1111,2018,10,14,"00:00",2.84
1111,2018,10,14,"01:30",2.52
1111,2018,10,14,"03:00",2.3
1111,2018,10,14,"04:30",2.2
1111,2018,10,14,"06:00",2.09
1111,2018,10,14,"07:30",1.98
1111,2018,10,14,"09:00",1.87
1111,2018,10,14,"10:30",1.87
1111,2018,10,14,"12:00",1.98
1111,2018,10,14,"13:30",2.2
1111,2018,10,14,"15:00",2.94
1111,2018,10,14,"16:30",3.68
1111,2018,10,14,"18:00",3.68
1111,2018,10,14,"19:30",2.73
1111,2018,10,14,"21:00",2.2
1111,2018,10,14,"22:30",1.76
1111,2018,10,15,"00:00",1.55
1111,2018,10,15,"01:30",1.44
1111,2018,10,15,"03:00",1.33
1111,2018,10,15,"04:30",1.22
1111,2018,10,15,"06:00",1.11
1111,2018,10,15,"07:30",1
1111,2018,10,15,"09:00",0.89
1111,2018,10,15,"10:30",0.89
1111,2018,10,15,"12:00",0.89
1111,2018,10,15,"13:30",0.89
1111,2018,10,15,"15:00",0.89
1111,2018,10,15,"16:30",0.89
1111,2018,10,15,"18:00",0.89
1111,2018,10,15,"19:30",0.89
1111,2018,10,15,"21:00",0.89
1111,2018,10,15,"22:30",0.78
1111,2018,10,16,"00:00",0.78
1111,2018,10,16,"01:30",0.78
1111,2018,10,16,"03:00",0.67
1111,2018,10,16,"04:30",0.56
1111,2018,10,16,"06:00",0.56
1111,2018,10,16,"07:30",0.45
1111,2018,10,16,"09:00",0.34
1111,2018,10,16,"10:30",0.34
1111,2018,10,16,"12:00",0.34
1111,2018,10,16,"13:30",0.34
1111,2018,10,16,"15:00",0.45
1111,2018,10,16,"16:30",0.45
1111,2018,10,16,"18:00",0.45
1111,2018,10,16,"19:30",0.45
1111,2018,10,16,"21:00",0.45
1111,2018,10,16,"22:30",0.45
1111,2018,10,17,"00:00",0.56
1111,2018,10,17,"01:30",0.56
1111,2018,10,17,"03:00",0.56
1111,2018,10,17,"04:30",0.56
1111,2018,10,17,"06:00",0.45
1111,2018,10,17,"07:30",0.45
1111,2018,10,17,"09:00",0.45
1111,2018,10,17,"10:30",0.45
1111,2018,10,17,"12:00",0.45
1111,2018,10,17,"13:30",0.45
1111,2018,10,17,"15:00",0.45
1111,2018,10,17,"16:30",0.45
1111,2018,10,17,"18:00",0.56
1111,2018,10,17,"19:30",0.56
1111,2018,10,17,"21:00",0.56
1111,2018,10,17,"22:30",0.56
1111,2018,10,18,"00:00",0.56
1111,2018,10,18,"01:30",0.56
1111,2018,10,18,"03:00",0.56
