Date_collected,Collector_1,Collector_2,N_leaves,Species,Bag_label,Date_weighed,Weigher,Leaf_mass_g,Petiole_mass_g,Notes,Scans,Bag_label
2018-06-14,Elizabeth Simpson,,5,Tragopogon dubius,1133-11b,2018-11-07,Hillary Woolf,0.152,0,,1133-11b-c.jpeg,1133-11b
2018-06-14,Elizabeth Simpson,,5,Tragopogon dubius,1133-11c,2018-11-07,Hillary Woolf,0.219,0,,1133-11b-c.jpeg,1133-11c
2018-06-14,Elizabeth Simpson,,5,Alyssum desertorum,1311-1a,2018-11-07,Hillary Woolf,0.003,0,,1311-1a-e.jpeg,1311-1a
2018-06-14,Elizabeth Simpson,,5,Alyssum desertorum,1311-1b,2018-11-07,Hillary Woolf,0.013,0,,1311-1a-e.jpeg,1311-1b
2018-06-14,Elizabeth Simpson,,5,Alyssum desertorum,1311-1c,2018-11-07,Hillary Woolf,0.007,0,,1311-1a-e.jpeg,1311-1c
2018-06-14,Elizabeth Simpson,,5,Alyssum desertorum,1311-1d,2018-11-07,Hillary Woolf,0.001,0,,1311-1a-e.jpeg,1311-1d
2018-06-14,Elizabeth Simpson,,5,Alyssum desertorum,1311-1e,2018-11-07,Hillary Woolf,0.002,0,,1311-1a-e.jpeg,1311-1e
2018-06-14,Elizabeth Simpson,,5,Mahonia repens,1311-2a,2018-11-07,Hillary Woolf,0.559,0,,1311-2a-e.jpeg,1311-2a
2018-06-14,Elizabeth Simpson,,5,Mahonia repens,1311-2b,2018-11-07,Hillary Woolf,0.564,0,,1311-2a-e.jpeg,1311-2b
2018-06-14,Elizabeth Simpson,,5,Mahonia repens,1311-2c,2018-11-07,Hillary Woolf,0.595,0,,1311-2a-e.jpeg,1311-2c
2018-06-14,Elizabeth Simpson,,5,Mahonia repens,1311-2d,2018-11-07,Hillary Woolf,0.312,0,,1311-2a-e.jpeg,1311-2d
2018-06-14,Elizabeth Simpson,,5,Mahonia repens,1311-2e,2018-11-07,Hillary Woolf,0.657,0,,1311-2a-e.jpeg,1311-2e
2018-06-14,Elizabeth Simpson,,5,Pseudoroegneria spicata,1311-3a,2018-11-07,Hillary Woolf,0.224,0,,1311-3a.jpeg,1311-3a
2018-06-14,Elizabeth Simpson,,5,Pseudoroegneria spicata,1311-3b,2018-11-07,Hillary Woolf,0.219,0,,1311-3b.jpeg,1311-3b
2018-06-14,Elizabeth Simpson,,5,Pseudoroegneria spicata,1311-3c,2018-11-07,Hillary Woolf,0.188,0,,1311-3c.jpeg,1311-3c
2018-06-14,Elizabeth Simpson,,5,Pseudoroegneria spicata,1311-3d,2018-11-07,Hillary Woolf,0.195,0,,1311-3d.jpeg,1311-3d
2018-06-14,Elizabeth Simpson,,5,Pseudoroegneria spicata,1311-3e,2018-11-07,Hillary Woolf,0.121,0,,1311-3e.jpeg,1311-3e
2018-06-14,Elizabeth Simpson,,5,Penstemon humilis,1311-4a,2018-11-07,Hillary Woolf,0.671,0,,1311-4a-c.jpeg,1311-4a
2018-06-14,Elizabeth Simpson,,5,Penstemon humilis,1311-4b,2018-11-07,Hillary Woolf,0.308,0,,1311-4a-c.jpeg,1311-4b
2018-06-14,Elizabeth Simpson,,5,Penstemon humilis,1311-4c,2018-11-07,Hillary Woolf,0.124,0,,1311-4a-c.jpeg,1311-4c
2018-06-19,Elizabeth Simpson,,5,Tragopogon dubius,1222-1a,2018-11-12,Hillary Woolf,0.25,0,,1222-1a-b.jpeg,1222-1a
2018-06-19,Elizabeth Simpson,,5,Tragopogon dubius,1222-1b,2018-11-12,Hillary Woolf,0.168,0,,1222-1a-b.jpeg,1222-1b
2018-06-19,Elizabeth Simpson,,5,Tragopogon dubius,1222-1c,2018-11-12,Hillary Woolf,0.283,0,,1222-1c.jpeg,1222-1c
2018-06-19,Elizabeth Simpson,,5,Tragopogon dubius,1222-1d,2018-11-12,Hillary Woolf,0.235,0,,1222-1d-e.jpeg,1222-1d
2018-06-19,Elizabeth Simpson,,5,Tragopogon dubius,1222-1e,2018-11-12,Hillary Woolf,0.178,0,,1222-1d-e.jpeg,1222-1e
2018-06-19,Elizabeth Simpson,,5,Crepis acuminata,1222-2a,2018-11-12,Hillary Woolf,0.513,0.054,,1222-2a.jpeg,1222-2a
2018-06-19,Elizabeth Simpson,,5,Crepis acuminata,1222-2b,2018-11-12,Hillary Woolf,1.177,0.234,,1222-2b.jpeg,1222-2b
2018-06-19,Elizabeth Simpson,,5,Crepis acuminata,1222-2c,2018-11-12,Hillary Woolf,0.93,0.334,,1222-2c.jpeg,1222-2c
2018-06-19,Elizabeth Simpson,,5,Crepis acuminata,1222-2d,2018-11-12,Hillary Woolf,1.261,0.195,,1222-2dA.jpeg_1222-2dB.jpeg,1222-2d
2018-06-19,Elizabeth Simpson,,5,Crepis acuminata,1222-2e,2018-11-12,Hillary Woolf,1.336,0.397,,1222-2eA.jpeg_1222-2eB.jpeg,1222-2e
2018-06-19,Elizabeth Simpson,,5,Circium undulatum,1222-8a,2018-11-12,Hillary Woolf,0.994,0,,1222-8a.jpeg,1222-8a
2018-06-19,Elizabeth Simpson,,5,Circium undulatum,1222-8b,2018-11-12,Hillary Woolf,0.869,0,,1222-8b-c.jpeg,1222-8b
2018-06-19,Elizabeth Simpson,,5,Circium undulatum,1222-8c,2018-11-12,Hillary Woolf,0.714,0,,1222-8b-c.jpeg,1222-8c
2018-06-19,Elizabeth Simpson,,5,Circium undulatum,1222-8d,2018-11-12,Hillary Woolf,1.617,0.401,,1222-8d-e.jpeg,1222-8d
2018-06-19,Elizabeth Simpson,,5,Circium undulatum,1222-8e,2018-11-12,Hillary Woolf,0.822,0.029,,1222-8d-e.jpeg,1222-8e
2018-06-19,Elizabeth Simpson,,5,Lactuca serriola,1222-9a,2018-11-12,Hillary Woolf,0.234,0,,1222-9a-c.jpeg,1222-9a
2018-06-19,Elizabeth Simpson,,5,Lactuca serriola,1222-9b,2018-11-12,Hillary Woolf,0.155,0,,1222-9a-c.jpeg,1222-9b
2018-06-19,Elizabeth Simpson,,5,Lactuca serriola,1222-9c,2018-11-12,Hillary Woolf,0.193,0,,1222-9a-c.jpeg,1222-9c
2018-06-19,Elizabeth Simpson,,5,Lactuca serriola,1222-9d,2018-11-12,Hillary Woolf,0.216,0,,1222-9d-e.jpeg,1222-9d
2018-06-19,Elizabeth Simpson,,5,Lactuca serriola,1222-9e,2018-11-12,Hillary Woolf,0.291,0,,1222-9d-e.jpeg,1222-9e
2018-06-19,Elizabeth Simpson,,5,Tragopogon dubius,1233-1a,2018-11-09,Hillary Woolf,0.277,0,,1233-1a-b.jpeg,1233-1a
2018-06-19,Elizabeth Simpson,,5,Tragopogon dubius,1233-1b,2018-11-09,Hillary Woolf,0.169,0,,1233-1a-b.jpeg,1233-1b
2018-06-19,Elizabeth Simpson,,5,Tragopogon dubius,1233-1c,2018-11-09,Hillary Woolf,0.203,0,,1233-1c-d.jpeg,1233-1c
2018-06-19,Elizabeth Simpson,,5,Tragopogon dubius,1233-1d,2018-11-09,Hillary Woolf,0.223,0,,1233-1c-d.jpeg,1233-1d
2018-06-19,Elizabeth Simpson,,5,Tragopogon dubius,1233-1e,2018-11-09,Hillary Woolf,0.128,0,,1233-1e.jpeg,1233-1e
2018-06-19,Elizabeth Simpson,,5,Lactuca serriola,1233-3a,2018-11-09,Hillary Woolf,0.23,0,,1233-3a-c.jpeg,1233-3a
2018-06-19,Elizabeth Simpson,,5,Lactuca serriola,1233-3b,2018-11-09,Hillary Woolf,0.229,0,,1233-3a-c.jpeg,1233-3b
2018-06-19,Elizabeth Simpson,,5,Lactuca serriola,1233-3c,2018-11-09,Hillary Woolf,0.188,0,,1233-3a-c.jpeg,1233-3c
2018-06-19,Elizabeth Simpson,,5,Lactuca serriola,1233-3d,2018-11-09,Hillary Woolf,0.29,0,,1233-3d-e.jpeg,1233-3d
2018-06-19,Elizabeth Simpson,,5,Lactuca serriola,1233-3e,2018-11-09,Hillary Woolf,0.292,0,,1233-3d-e.jpeg,1233-3e
2018-06-19,Elizabeth Simpson,,5,Oenothera caespitosa,1233-4a,2018-11-09,Hillary Woolf,0.487,0.22,,1233-4a-c.jpeg,1233-4a
2018-06-19,Elizabeth Simpson,,5,Oenothera caespitosa,1233-4b,2018-11-09,Hillary Woolf,0.484,0.151,,1233-4a-c.jpeg,1233-4b
2018-06-19,Elizabeth Simpson,,5,Oenothera caespitosa,1233-4c,2018-11-09,Hillary Woolf,0.31,0.136,,1233-4a-c.jpeg,1233-4c
2018-06-19,Elizabeth Simpson,,5,Oenothera caespitosa,1233-4d,2018-11-09,Hillary Woolf,0.441,0.207,,1233-4d-e.jpeg,1233-4d
2018-06-19,Elizabeth Simpson,,5,Oenothera caespitosa,1233-4e,2018-11-09,Hillary Woolf,0.525,0.189,,1233-4d-e.jpeg,1233-4e
