Date_collected,Collector_1,Collector_2,N_leaves,Species,Bag_label,Date_weighed,Weigher,Leaf_mass_g,Petiole_mass_g,ck_date_weighed,ck_weigher,ck_leaf_mass_g,ck_petiole_mass_g,Notes,Scans
2018-06-19,Elizabeth Simpson,,5,Oenothera caespitosa,1233-4c,2018-11-09,Hillary Woolf,0.31,0.136,2018-12-07,Elizabeth Simpson,0.324,0.122,,
2018-06-19,Elizabeth Simpson,,5,Oenothera caespitosa,1233-4d,2018-11-09,Hillary Woolf,0.441,0.207,,,,,,
2018-06-19,Elizabeth Simpson,,5,Oenothera caespitosa,1233-4e,2018-11-09,Hillary Woolf,0.525,0.189,,,,,,
2018-06-19,Elizabeth Simpson,,5,Elymus lanceolatus,1233-8a,2018-11-09,Hillary Woolf,0.105,0,,,,,,
2018-06-19,Elizabeth Simpson,,5,Elymus lanceolatus,1233-8b,2018-11-09,Hillary Woolf,0.111,0,2018-12-07,Elizabeth Simpson,0.111,0,,
2018-06-19,Elizabeth Simpson,,5,Elymus lanceolatus,1233-8c,2018-11-09,Hillary Woolf,0.153,0,,,,,,
2018-06-19,Elizabeth Simpson,,5,Elymus lanceolatus,1233-8d,2018-11-09,Hillary Woolf,0.16,0,,,,,,
2018-06-19,Elizabeth Simpson,,5,Elymus lanceolatus,1233-8e,2018-11-09,Hillary Woolf,0.121,0,,,,,,
2018-06-20,Elizabeth Simpson,,5,Purshia tridentata,1211-1a-L5,2018-11-09,Hillary Woolf,0.04,0,,,,,,
2018-06-20,Elizabeth Simpson,,5,Purshia tridentata,1211-1a-R5,2018-11-09,Hillary Woolf,0.044,0,,,,,,
2018-06-20,Elizabeth Simpson,,5,Purshia tridentata,1211-1b-L5,2018-11-09,Hillary Woolf,0.052,0,2018-12-07,Elizabeth Simpson,0.052,0,,
2018-06-20,Elizabeth Simpson,,5,Purshia tridentata,1211-1b-R5,2018-11-09,Hillary Woolf,0.057,0,,,,,,
2018-06-20,Elizabeth Simpson,,5,Purshia tridentata,1211-1c-L5,2018-11-09,Hillary Woolf,0.044,0,2018-12-07,Elizabeth Simpson,0.045,0,,
